,ingredient,substitute
0,egg, Mashed banana
1,egg, Applesauce
2,egg, Fruit puree 
3,egg, Avocado
4,egg, Gelatin
5,egg, Xanthan gum
6,egg, Vegetable oil and baking powder 
7,egg, Margarine
8,egg, Flaxseeds
9,egg, Chia seeds
10,egg, Seeds and baking powder
11,egg, Powdered egg replacements
12,egg, Chickpea flour
13,egg, Firm tofu
14,egg, White beans
15,egg, Scrambled tofu
