,ingredient,substitute
0,soybean,Milk and eggs
1,soybean,Beans
2,soybean,Nuts
3,soybean,Seitan
4,soybean,Whole wheat
5,soybean,Quinoa
6,soybean,Flaxseed
7,soybean,Oat bran
