,ingredient,products
0,egg,Mayo-ketchup - Goya
1,egg,Ham Croquettes - Goya
2,egg,Spinach empanadas - Goya
3,egg,Croquettes - Goya
5,egg,Authentic Style Rice Pilaf - Goya
6,egg,Chicken Croquettes - Goya
7,egg,Baked Beef Empanadas - Goya
8,egg,Baked empanadas - Goya
9,egg,Mayonnaise - Goya
10,egg,"Goya, latin style bread crumbs"
12,egg,Mexican Style Stuffed Peppers Rellenos - Goya
14,egg,Tequenos South American Cheese Sticks - Goya
