,ingredient,substitute
0,fish,Tofu fish (‘tofish’)
1,fish,Smoked carrot salmon
2,fish,Banana blossom fish
3,fish,Jackfruit tuna
4,fish,"Seitan scampi, prawns, and shrimp"
5,fish,Vegan fish sticks and fillets
6,fish,Garbanzo bean fish-less cakes
7,fish,Mushroom fish pie
8,fish,Teriyaki chicken sushi rolls
9,fish,Fish sauce and flavorings
