ingredient,substitute
treenut,Sesame seeds
treenut,Sunflower seeds
treenut,Pumpkin and squash seeds
treenut,Hemp seeds and hemp hearts
treenut,Watermelon seeds
treenut,Chia seeds
treenut,Flax seeds
treenut,Pomegranate seeds
treenut,Papaya
